wroteMusicFor	wrote music for
owns	owns
hasGender	has Gender
isInterestedIn	is interested in
hasCurrency	has currency
hasOfficialLanguage	has official language
hasChild	has child
isAffiliatedTo	is affiliated to
hasWonPrize	has won prize
isLeaderOf	is leader of
actedIn	acted in
exports	exports
graduatedFrom	graduated from
participatedIn	participated in
isMarriedTo	is married to
dealsWith	deals with
directed	directed
edited	edited
isLocatedIn	is located in
hasMusicalRole	has musical role
isPoliticianOf	is politician of
hasAcademicAdvisor	has academic advisor
imports	imports
influences	influences
created	created
worksAt	work at
isCitizenOf	is citizen of
isConnectedTo	is connected to
hasCapital	has capital
playsFor	plays for
hasWebsite	has website
diedIn	died in
hasNeighbor	has neighbor
wasBornIn	was born in
livesIn	lives in
happenedIn	happend in
isKnownFor	is known for
